Id 	 Nombre de Lugar 	 Coordenadas 	 Tiempo Traslado 	 Tiempo Total (Weight) 	 Rating (Profit) 

1	Museo Nacional de Antropología	19.4260032, -99.1862786	1003.5	1003.5	4.8
2	Museo Nacional De Arte (MUNAL)	19.4363712, -99.1397023	353.2	353.2	4.8
3	Templo Mayor Museum	19.4346038, -99.13188099999999	1128.7	1128.7	4.8
4	Interactive Museum of Economics	19.4353495, -99.13836459999999	253.0	253.0	4.6
5	Museo de Arte Moderno	19.4228316, -99.1797258	967.3	967.3	4.6
6	Museo de Arte Popular	19.433958, -99.1462631	282.0	282.0	4.7
7	Museo de Cera	19.4285278, -99.15708079999999	544.5	544.5	4.6
8	Frida Kahlo Museum	19.3551806, -99.1624636	1736.4	1736.4	4.5
9	Soumaya Museum	19.4406926, -99.2047001	1480.6	1480.6	4.7
10	Memory and Tolerance Museum	19.4343297, -99.1413247	402.4	402.4	4.7
11	Museum of light	19.4362372, -99.1299945	689.1	689.1	4.5
12	Museo Dolores Olmedo	19.2656032, -99.1253409	3025.0	3025.0	4.7
13	Metro Museum	19.3752985, -99.1867425	1616.5	1616.5	4.4
14	Museo Franz Mayer	19.4369334, -99.14343400000001	40.2	40.2	4.6
15	University Museum Contemporary Art	19.3146858, -99.18540109999999	2603.2	2603.2	4.7
16	Museo Casa de León Trotsky	19.3576107, -99.15932459999999	1705.9	1705.9	4.5
17	Palacio de Bellas Artes	19.4352, -99.1412	457.9	457.9	4.8
18	Museo de la Ciudad de Mexico	19.4292369, -99.1321387	657.5	657.5	4.5
19	Museo de la Charreria	19.4260403, -99.1372238	691.0	691.0	4.3
20	Museum of Man Tepexpan	19.6139084, -98.94735569999999	2430.0	2430.0	4.1
21	Museo del Tiempo Tlalpan, A.C.	19.2885927, -99.16743029999999	2482.4	2482.4	4.7
22	National Museum of Interventions	19.3550024, -99.14879499999999	1769.4	1769.4	4.6
23	Museo Nacional de las Culturas	19.4332126, -99.13039769999999	687.7	687.7	4.7
24	Universum	19.3114346, -99.1805749	2617.6	2617.6	4.6
25	Museo Anahuacalli	19.3231754, -99.1439285	2076.1	2076.1	4.7
26	Palacio de la Escuela de Medicina	19.4379488, -99.1330325	420.2	420.2	4.6
27	Former College of San Ildefonso	19.436341, -99.1308634	638.5	638.5	4.7
28	Museo de Historia Natural	19.409833, -99.20151899999999	1548.6	1548.6	4.7
29	Museo Nacional de Arquitectura	19.4354995, -99.14118529999999	463.6	463.6	4.8
30	Papalote Museo del Niño	19.4116523, -99.1947372	1186.8	1186.8	4.5
31	Museo del Instituto de Geología de la UNAM	19.4502641, -99.1578017	695.1	695.1	4.6
32	Toy Museum Old Mexico street Art	19.4153442, -99.1445236	739.6	739.6	4.2
33	Estanquillo Museum	19.4332695, -99.1361618	557.8	557.8	4.6
34	Museum of El Carmen	19.3453961, -99.1899237	2205.8	2205.8	4.7
35	Diego Rivera Mural Museum	19.4360279, -99.14693349999999	229.2	229.2	4.5
36	Museo Experimental el Eco	19.4334736, -99.1611887	619.5	619.5	4.2
37	UNAM Museo de las Constituciones	19.4363673, -99.1294145	676.6	676.6	4.5
38	Arte Carrillo Gil Museum	19.3494444, -99.1902778	2018.4	2018.4	4.5
39	Museo del Chocolate	19.4294462, -99.1572271	590.6	590.6	4.5
40	Museo Tamayo Arte Contemporáneo	19.42572, -99.181716	885.2	885.2	4.4
41	The National Museum of San Carlos	19.4380689, -99.1520429	285.3	285.3	4.6
42	Museo Jumex	19.4404568, -99.20359330000001	1302.3	1302.3	4.6
43	Museo Casa de Carranza	19.4311935, -99.163468	623.3	623.3	4.6
44	Natural History Museum of Ecatepec	19.5469044, -99.03670129999999	2585.0	2585.0	4.4
45	MODO Museo del Objeto	19.4202297, -99.15907620000002	713.6	713.6	4.5
46	Museum of Cultures By Iztapalapa Passion	19.3577118, -99.0875015	2257.6	2257.6	4.4
47	Museo de la Torre Latinoamericana	19.433891, -99.14054399999999	486.5	486.5	4.7
48	Museo del Genoma Mesoamericano	19.5968081, -99.0519692	2303.9	2303.9	4.6
49	Museo Universitario del Chopo	19.441993, -99.1567171	486.5	486.5	4.5
50	Regional Art Museum	19.5019399, -99.2116346	1806.1	1806.1	4.5
51	Museo Universitario de Ciencias y Artes (MUCA) Roma	19.4190404, -99.1629921	870.2	870.2	4.2
52	House Museum of Memory Indómita	19.4276917, -99.1346883	568.0	568.0	4.5
53	Regional Museum Altepepialcalli	19.1925056, -99.02178889999999	5490.3	5490.3	4.1
54	Alfredo Guati Rojo National Watercolor Museum	19.348631, -99.17707	2100.1	2100.1	4.6
55	Museum Tepexpan	19.613865, -98.947688	2430.7	2430.7	4.1
56	MI Indian Museum	19.4519111, -99.13131849999999	627.9	627.9	4.5
57	Museo del Caracol	19.4190145, -99.1834349	869.4	869.4	4.6
58	Museum Adolfo Lopez Mateos	19.5631838, -99.248143	2789.6	2789.6	4.2
59	Museo Nacional de la Estampa	19.4370531, -99.1427154	87.8	87.8	4.5
60	New Fire Museum	19.3481804, -99.0914754	3024.9	3024.9	4.4
61	Mexican Art Gallery GAM	19.413262, -99.18703599999999	1033.4	1033.4	4.5
62	Galería Arte XXI	19.4303069, -99.19247949999999	1185.3	1185.3	4.3
63	kurimanzutto	19.411377, -99.18760499999999	1174.5	1174.5	4.5
64	PROYECTOSMONCLOVA	19.4210233, -99.1559418	650.0	650.0	4.5
65	Galeria Ethra	19.4453626, -99.1788344	867.5	867.5	4.1
66	Málaga gallery. Contemporary art	19.371228, -99.182334	1789.1	1789.1	4.7
67	OSCAR ROMÁN GALLERY ART AND DESIGN	19.4276202, -99.1975442	1349.6	1349.6	4.6
68	Arte Hoy Galería	19.3557992, -99.16672799999999	1713.5	1713.5	3.6
69	Galería Aguafuerte	19.416628, -99.16006	710.8	710.8	4.5
70	Arroniz Contemporary Art	19.418647, -99.161943	700.6	700.6	4.5
71	House of Gaga	19.4119833, -99.17119459999999	1014.1	1014.1	4.4
72	Galería Casa Lamm	19.418845, -99.159166	628.4	628.4	4.6
73	Machete: Latin American Contemporary Art Gallery	19.4231295, -99.15991819999999	630.7	630.7	4.7
74	LS / Galería | Galería de Arte Moderno y Contemporáneo	19.4304842, -99.2017032	1366.8	1366.8	4.3
75	Proyecto H Contemporáneo	19.4169736, -99.171982	1000.6	1000.6	5.0
76	PARQUE Galería	19.415567, -99.183673	957.4	957.4	4.2
77	ArtSpace Mexico	19.4086389, -99.17067779999999	1045.9	1045.9	4.5
78	AURA GALERIAS	19.420764, -99.211207	1572.9	1572.9	4.8
79	DLonngi ART	19.4093708, -99.17856309999999	1111.5	1111.5	4.5
80	Galería Hilario Galguera	19.4386784, -99.1616748	587.9	587.9	4.3
81	Jardín del Arte	19.4329512, -99.16193919999999	603.9	603.9	4.3
82	Galeria Art Forum S.A.	19.4050636, -99.241074	2044.7	2044.7	0.0
83	Galería de arte de la SHCP	19.435146, -99.1334973	584.5	584.5	4.6
84	Carré d'artistes®	19.4307426, -99.19688959999999	1272.9	1272.9	4.5
85	Galería Mascota	19.417819, -99.170711	840.7	840.7	4.6
86	Galería RGR	19.4134518, -99.1845664	974.5	974.5	4.6
87	INBA Galería José María Velasco	19.4479635, -99.13236239999999	517.0	517.0	4.4
88	Art point	19.4314498, -99.2026042	1524.4	1524.4	4.2
89	101 Art Galleries	19.3827442, -99.2684606	2248.3	2248.3	3.3
90	Traeger & Pinto Contemporary Art	19.41988, -99.160592	743.1	743.1	4.5
91	YAWÍ	19.4334666, -99.13429420000001	402.4	402.4	4.8
92	White Cremnitz	19.4284585, -99.13922900000001	441.9	441.9	4.3
93	Centro Nacional de las Artes	19.3564533, -99.1407464	1512.6	1512.6	4.7
94	Museo Anahuacalli	19.3231754, -99.1439285	2076.1	2076.1	4.7
95	Alfredo Guati Rojo National Watercolor Museum	19.348631, -99.17707	2100.1	2100.1	4.6
96	MI Indian Museum	19.4519111, -99.13131849999999	627.9	627.9	4.5
97	Bosque de Chapultepec	19.4194815, -99.18945579999999	1556.1	1556.1	4.6
98	Parque Tezozómoc	19.4998595, -99.210754	1828.7	1828.7	4.4
99	Parque Bicentenario	19.4686896, -99.1972629	1760.7	1760.7	4.7
100	La Mexicana Park	19.3574615, -99.27052119999999	2053.8	2053.8	4.7
101	Parque Hundido	19.3782922, -99.17874719999999	1564.7	1564.7	4.6
102	Cerro de la Estrella National Park	19.3439269, -99.0914995	6742.8	6742.8	4.4
103	Espejo de los Lirios Park	19.651843, -99.21830179999999	3166.1	3166.1	4.3
104	El Tepeyac National Park	19.5039634, -99.1078041	1590.4	1590.4	4.1
105	Parque Ecológico EHECATL	19.5943439, -99.0545412	2403.2	2403.2	4.5
106	Alameda Central	19.4357353, -99.1439486	125.0	125.0	4.6
107	Parque Naucalli	19.4930556, -99.24083329999999	1882.0	1882.0	4.4
