Id 	 Nombre de Lugar 	 Coordenadas 	 Tiempo Traslado 	 Tiempo Total (Weight) 	 Rating (Profit) 

1	Museo Nacional de Antropología	19.4260032, -99.1862786	1092.2	1092.2	4.8
2	Templo Mayor Museum	19.4346038, -99.13188099999999	2650.4	2650.4	4.8
3	Museo Nacional De Arte (MUNAL)	19.4363712, -99.1397023	1902.1	1902.1	4.8
4	Soumaya Museum	19.4406926, -99.2047001	752.8	752.8	4.7
5	Memory and Tolerance Museum	19.4343297, -99.1413247	1675.9	1675.9	4.7
6	Museo de Arte Popular	19.433958, -99.1462631	1555.5	1555.5	4.7
7	Interactive Museum of Economics	19.4353495, -99.13836459999999	1801.9	1801.9	4.6
8	Museo Dolores Olmedo	19.2656032, -99.1253409	2846.1	2846.1	4.7
9	Museo de Cera	19.4285278, -99.15708079999999	1446.1	1446.1	4.6
10	Museo Franz Mayer	19.4369334, -99.14343400000001	1741.6	1741.6	4.6
11	Museo Casa de León Trotsky	19.3576107, -99.15932459999999	1819.5	1819.5	4.5
12	Palacio de Bellas Artes	19.4352, -99.1412	1731.4	1731.4	4.8
13	Museo de la Ciudad de Mexico	19.4292369, -99.1321387	1971.6	1971.6	4.5
14	National Museum of Interventions	19.3550024, -99.14879499999999	2014.2	2014.2	4.6
15	Frida Kahlo Museum	19.3551806, -99.1624636	1857.1	1857.1	4.5
16	Museo de Arte Moderno	19.4228316, -99.1797258	1235.9	1235.9	4.6
17	Museo Nacional de las Culturas	19.4332126, -99.13039769999999	2236.6	2236.6	4.7
18	University Museum Contemporary Art	19.3146858, -99.18540109999999	2214.3	2214.3	4.7
19	Universum	19.3114346, -99.1805749	2439.0	2439.0	4.6
20	Museo Anahuacalli	19.3231754, -99.1439285	2592.2	2592.2	4.7
21	Palacio de la Escuela de Medicina	19.4379488, -99.1330325	2005.6	2005.6	4.6
22	National Museum of Popular Culture	19.3497158, -99.1610225	2060.8	2060.8	4.5
23	Museo de Historia Natural	19.409833, -99.20151899999999	1188.9	1188.9	4.7
24	Former College of San Ildefonso	19.436341, -99.1308634	2172.9	2172.9	4.7
25	Toy Museum Old Mexico street Art	19.4153442, -99.1445236	1802.2	1802.2	4.2
26	Museo del Instituto de Geología de la UNAM	19.4502641, -99.1578017	1539.7	1539.7	4.6
27	Estanquillo Museum	19.4332695, -99.1361618	1955.3	1955.3	4.6
28	Museum of Man Tepexpan	19.6139084, -98.94735569999999	3320.3	3320.3	4.1
29	Museum of El Carmen	19.3453961, -99.1899237	1892.4	1892.4	4.7
30	Museo del Tiempo Tlalpan, A.C.	19.2885927, -99.16743029999999	2740.7	2740.7	4.7
31	Papalote Museo del Niño	19.4116523, -99.1947372	1075.5	1075.5	4.5
32	Arte Carrillo Gil Museum	19.3494444, -99.1902778	1705.0	1705.0	4.5
33	Museo Tamayo Arte Contemporáneo	19.42572, -99.181716	1165.3	1165.3	4.4
34	UNAM Museo de las Constituciones	19.4363673, -99.1294145	2218.5	2218.5	4.5
35	Museo del Chocolate	19.4294462, -99.1572271	1408.2	1408.2	4.5
36	The National Museum of San Carlos	19.4380689, -99.1520429	1509.7	1509.7	4.6
37	Museo Jumex	19.4404568, -99.20359330000001	662.6	662.6	4.6
38	Museo Casa de Carranza	19.4311935, -99.163468	1210.8	1210.8	4.6
39	Metro Museum	19.3752985, -99.1867425	1533.6	1533.6	4.4
40	Museum of light	19.4362372, -99.1299945	2231.0	2231.0	4.5
41	Museo de la Charreria	19.4260403, -99.1372238	1761.5	1761.5	4.3
42	Museo Nacional de Arquitectura	19.4354995, -99.14118529999999	1737.1	1737.1	4.8
43	Diego Rivera Mural Museum	19.4360279, -99.14693349999999	1804.4	1804.4	4.5
44	Museo Experimental el Eco	19.4334736, -99.1611887	1240.4	1240.4	4.2
45	Natural History Museum of Ecatepec	19.5469044, -99.03670129999999	3475.3	3475.3	4.4
46	MODO Museo del Objeto	19.4202297, -99.15907620000002	1565.6	1565.6	4.5
47	Museum of Cultures By Iztapalapa Passion	19.3577118, -99.0875015	2793.3	2793.3	4.4
48	Museo de la Torre Latinoamericana	19.433891, -99.14054399999999	1813.7	1813.7	4.7
49	Museo del Genoma Mesoamericano	19.5968081, -99.0519692	3194.2	3194.2	4.6
50	Museo Universitario del Chopo	19.441993, -99.1567171	1533.0	1533.0	4.5
51	Regional Art Museum	19.5019399, -99.2116346	1615.5	1615.5	4.5
52	Museo Universitario de Ciencias y Artes (MUCA) Roma	19.4190404, -99.1629921	1479.7	1479.7	4.2
53	House Museum of Memory Indómita	19.4276917, -99.1346883	1914.7	1914.7	4.5
54	Regional Museum Altepepialcalli	19.1925056, -99.02178889999999	5479.8	5479.8	4.1
55	Alfredo Guati Rojo National Watercolor Museum	19.348631, -99.17707	1924.5	1924.5	4.6
56	MI Indian Museum	19.4519111, -99.13131849999999	1998.7	1998.7	4.5
57	Museo del Caracol	19.4190145, -99.1834349	1370.5	1370.5	4.6
58	Museum Adolfo Lopez Mateos	19.5631838, -99.248143	2077.0	2077.0	4.2
59	Museo Nacional de la Estampa	19.4370531, -99.1427154	1636.7	1636.7	4.5
60	Museum Tepexpan	19.613865, -98.947688	3321.0	3321.0	4.1
61	Mexican Art Gallery GAM	19.413262, -99.18703599999999	1207.0	1207.0	4.5
