Id 	 Nombre de Lugar 	 Coordenadas 	 Tiempo Traslado 	 Tiempo Total (Weight) 	 Rating (Profit) 

1	Museo Nacional de Antropología	19.4260032, -99.1862786	4029.5	4029.5	4.8
2	Templo Mayor Museum	19.4346038, -99.13188099999999	4041.2	4041.2	4.8
3	Museo Nacional De Arte (MUNAL)	19.4363712, -99.1397023	3612.5	3612.5	4.8
4	Interactive Museum of Economics	19.4353495, -99.13836459999999	3512.3	3512.3	4.6
5	Museo de Arte Moderno	19.4228316, -99.1797258	3912.1	3912.1	4.6
6	Museo de Arte Popular	19.433958, -99.1462631	3538.3	3538.3	4.7
7	Soumaya Museum	19.4406926, -99.2047001	4290.0	4290.0	4.7
8	Frida Kahlo Museum	19.3551806, -99.1624636	2801.1	2801.1	4.5
9	Museo de Cera	19.4285278, -99.15708079999999	3517.0	3517.0	4.6
10	Memory and Tolerance Museum	19.4343297, -99.1413247	3658.7	3658.7	4.7
11	Palacio de Bellas Artes	19.4352, -99.1412	3381.5	3381.5	4.8
12	Museo Dolores Olmedo	19.2656032, -99.1253409	2729.7	2729.7	4.7
13	Museo Franz Mayer	19.4369334, -99.14343400000001	3463.7	3463.7	4.6
14	Museo Casa de León Trotsky	19.3576107, -99.15932459999999	2770.6	2770.6	4.5
15	Metro Museum	19.3752985, -99.1867425	2981.9	2981.9	4.4
16	Museo de la Ciudad de Mexico	19.4292369, -99.1321387	3155.1	3155.1	4.5
17	University Museum Contemporary Art	19.3146858, -99.18540109999999	2787.0	2787.0	4.7
18	National Museum of Interventions	19.3550024, -99.14879499999999	2768.6	2768.6	4.6
19	Museo de la Charreria	19.4260403, -99.1372238	3176.2	3176.2	4.3
20	Museo Nacional de las Culturas	19.4332126, -99.13039769999999	3431.1	3431.1	4.7
21	Museum of light	19.4362372, -99.1299945	3107.5	3107.5	4.5
22	Museo del Tiempo Tlalpan, A.C.	19.2885927, -99.16743029999999	2582.8	2582.8	4.7
23	Universum	19.3114346, -99.1805749	2936.3	2936.3	4.6
24	Museo Anahuacalli	19.3231754, -99.1439285	3074.6	3074.6	4.7
25	Palacio de la Escuela de Medicina	19.4379488, -99.1330325	3136.4	3136.4	4.6
26	Museo de Historia Natural	19.409833, -99.20151899999999	3922.7	3922.7	4.7
27	Former College of San Ildefonso	19.436341, -99.1308634	3591.9	3591.9	4.7
28	Museo Nacional de Arquitectura	19.4354995, -99.14118529999999	3387.2	3387.2	4.8
29	Toy Museum Old Mexico street Art	19.4153442, -99.1445236	3393.8	3393.8	4.2
30	Museo del Instituto de Geología de la UNAM	19.4502641, -99.1578017	3810.9	3810.9	4.6
31	Estanquillo Museum	19.4332695, -99.1361618	3368.4	3368.4	4.6
32	Museum of El Carmen	19.3453961, -99.1899237	3159.9	3159.9	4.7
33	Diego Rivera Mural Museum	19.4360279, -99.14693349999999	3677.2	3677.2	4.5
34	Museo Experimental el Eco	19.4334736, -99.1611887	3753.4	3753.4	4.2
35	Papalote Museo del Niño	19.4116523, -99.1947372	3930.8	3930.8	4.5
36	Arte Carrillo Gil Museum	19.3494444, -99.1902778	3326.0	3326.0	4.5
37	UNAM Museo de las Constituciones	19.4363673, -99.1294145	3507.4	3507.4	4.5
38	Museo Tamayo Arte Contemporáneo	19.42572, -99.181716	3830.0	3830.0	4.4
39	Museo del Chocolate	19.4294462, -99.1572271	3521.7	3521.7	4.5
40	The National Museum of San Carlos	19.4380689, -99.1520429	3655.6	3655.6	4.6
41	Museo Jumex	19.4404568, -99.20359330000001	4200.4	4200.4	4.6
