Id 	 Nombre de Lugar 	 Coordenadas 	 Tiempo Traslado 	 Tiempo Total (Weight) 	 Rating (Profit) 

1	Museo Nacional de Antropología	19.4260032, -99.1862786	2314.3	2314.3	4.8
2	Templo Mayor Museum	19.4346038, -99.13188099999999	2913.0	2913.0	4.8
3	Museo Nacional De Arte (MUNAL)	19.4363712, -99.1397023	2405.6	2405.6	4.8
4	Interactive Museum of Economics	19.4353495, -99.13836459999999	2353.4	2353.4	4.6
5	Museo de Arte Moderno	19.4228316, -99.1797258	2458.0	2458.0	4.6
6	Museo de Arte Popular	19.433958, -99.1462631	2405.1	2405.1	4.7
7	Soumaya Museum	19.4406926, -99.2047001	2486.2	2486.2	4.7
8	Frida Kahlo Museum	19.3551806, -99.1624636	1606.3	1606.3	4.5
9	Museo de Cera	19.4285278, -99.15708079999999	2396.7	2396.7	4.6
10	Memory and Tolerance Museum	19.4343297, -99.1413247	2525.5	2525.5	4.7
11	Palacio de Bellas Artes	19.4352, -99.1412	2261.2	2261.2	4.8
12	Museo Dolores Olmedo	19.2656032, -99.1253409	878.3	878.3	4.7
13	Museo Franz Mayer	19.4369334, -99.14343400000001	2343.4	2343.4	4.6
14	Museo Casa de León Trotsky	19.3576107, -99.15932459999999	1575.8	1575.8	4.5
15	Metro Museum	19.3752985, -99.1867425	1787.1	1787.1	4.4
16	Museo de la Ciudad de Mexico	19.4292369, -99.1321387	2026.9	2026.9	4.5
17	University Museum Contemporary Art	19.3146858, -99.18540109999999	879.2	879.2	4.7
18	National Museum of Interventions	19.3550024, -99.14879499999999	1503.3	1503.3	4.6
19	Museo de la Charreria	19.4260403, -99.1372238	1965.5	1965.5	4.3
20	Museo Nacional de las Culturas	19.4332126, -99.13039769999999	2623.2	2623.2	4.7
21	Museo del Tiempo Tlalpan, A.C.	19.2885927, -99.16743029999999	754.1	754.1	4.7
22	Universum	19.3114346, -99.1805749	1028.5	1028.5	4.6
23	Museo Anahuacalli	19.3231754, -99.1439285	1133.6	1133.6	4.7
24	Palacio de la Escuela de Medicina	19.4379488, -99.1330325	2348.2	2348.2	4.6
25	Museo de Historia Natural	19.409833, -99.20151899999999	2388.1	2388.1	4.7
26	Former College of San Ildefonso	19.436341, -99.1308634	2566.5	2566.5	4.7
27	Toy Museum Old Mexico street Art	19.4153442, -99.1445236	2117.9	2117.9	4.2
28	Museo del Instituto de Geología de la UNAM	19.4502641, -99.1578017	2998.3	2998.3	4.6
29	Estanquillo Museum	19.4332695, -99.1361618	2204.6	2204.6	4.6
30	Museo Nacional de Arquitectura	19.4354995, -99.14118529999999	2266.9	2266.9	4.8
31	Museum of El Carmen	19.3453961, -99.1899237	1252.1	1252.1	4.7
32	Papalote Museo del Niño	19.4116523, -99.1947372	2127.0	2127.0	4.5
33	Arte Carrillo Gil Museum	19.3494444, -99.1902778	1418.2	1418.2	4.5
34	UNAM Museo de las Constituciones	19.4363673, -99.1294145	2604.6	2604.6	4.5
35	Museo Tamayo Arte Contemporáneo	19.42572, -99.181716	2387.4	2387.4	4.4
36	Museo del Chocolate	19.4294462, -99.1572271	2401.4	2401.4	4.5
37	Diego Rivera Mural Museum	19.4360279, -99.14693349999999	2532.4	2532.4	4.5
38	The National Museum of San Carlos	19.4380689, -99.1520429	2588.5	2588.5	4.6
39	Museo Jumex	19.4404568, -99.20359330000001	2396.6	2396.6	4.6
40	Museo Experimental el Eco	19.4334736, -99.1611887	2633.1	2633.1	4.2
41	Museum of light	19.4362372, -99.1299945	2617.1	2617.1	4.5
42	Museo Casa de Carranza	19.4311935, -99.163468	2596.8	2596.8	4.6
43	Natural History Museum of Ecatepec	19.5469044, -99.03670129999999	3752.1	3752.1	4.4
44	MODO Museo del Objeto	19.4202297, -99.15907620000002	2420.4	2420.4	4.5
45	Museum of Cultures By Iztapalapa Passion	19.3577118, -99.0875015	2033.7	2033.7	4.4
46	Museo de la Torre Latinoamericana	19.433891, -99.14054399999999	2229.5	2229.5	4.7
47	Museo Universitario del Chopo	19.441993, -99.1567171	2754.9	2754.9	4.5
48	Regional Art Museum	19.5019399, -99.2116346	3139.8	3139.8	4.5
49	Museo Universitario de Ciencias y Artes (MUCA) Roma	19.4190404, -99.1629921	2542.9	2542.9	4.2
50	Regional Museum Altepepialcalli	19.1925056, -99.02178889999999	3512.0	3512.0	4.1
51	House Museum of Memory Indómita	19.4276917, -99.1346883	1970.0	1970.0	4.5
52	Alfredo Guati Rojo National Watercolor Museum	19.348631, -99.17707	1485.6	1485.6	4.6
53	Museo del Caracol	19.4190145, -99.1834349	2374.0	2374.0	4.6
54	MI Indian Museum	19.4519111, -99.13131849999999	2855.1	2855.1	4.5
55	Museum Adolfo Lopez Mateos	19.5631838, -99.248143	3720.3	3720.3	4.2
56	Museo Nacional de la Estampa	19.4370531, -99.1427154	2391.0	2391.0	4.5
57	New Fire Museum	19.3481804, -99.0914754	2839.4	2839.4	4.4
58	Museo ídolos del Esto	19.4378735, -99.16012979999999	2701.5	2701.5	3.8
59	Museo Nacional de Historia, Castillo de Chapultepec	19.4204791, -99.1818236	2547.0	2547.0	4.5
60	National Museum of the Revolution	19.4361972, -99.15463330000001	2618.6	2618.6	4.6
61	Mexican Art Gallery GAM	19.413262, -99.18703599999999	2184.3	2184.3	4.5
62	Galería Arte XXI	19.4303069, -99.19247949999999	2296.1	2296.1	4.3
63	PROYECTOSMONCLOVA	19.4210233, -99.1559418	2359.9	2359.9	4.5
64	kurimanzutto	19.411377, -99.18760499999999	2120.2	2120.2	4.5
65	Galeria Ethra	19.4453626, -99.1788344	2876.6	2876.6	4.1
66	OSCAR ROMÁN GALLERY ART AND DESIGN	19.4276202, -99.1975442	2386.7	2386.7	4.6
67	Málaga gallery. Contemporary art	19.371228, -99.182334	2017.1	2017.1	4.7
68	Arte Hoy Galería	19.3557992, -99.16672799999999	1583.4	1583.4	3.6
69	Galería Aguafuerte	19.416628, -99.16006	2372.9	2372.9	4.5
70	Arroniz Contemporary Art	19.418647, -99.161943	2364.1	2364.1	4.5
71	House of Gaga	19.4119833, -99.17119459999999	2593.5	2593.5	4.4
72	Galería Casa Lamm	19.418845, -99.159166	2291.9	2291.9	4.6
