Id 	 Nombre de Lugar 	 Coordenadas 	 Tiempo Traslado 	 Tiempo Total (Weight) 	 Rating (Profit) 

1	Museo Nacional de Antropología	19.4260032, -99.1862786	1160.8	1160.8	4.8
2	Templo Mayor Museum	19.4346038, -99.13188099999999	769.4	769.4	4.8
3	Museo Nacional De Arte (MUNAL)	19.4363712, -99.1397023	262.0	262.0	4.8
4	Interactive Museum of Economics	19.4353495, -99.13836459999999	209.8	209.8	4.6
5	Museo de Arte Moderno	19.4228316, -99.1797258	1124.6	1124.6	4.6
6	Museo de Arte Popular	19.433958, -99.1462631	577.1	577.1	4.7
7	Soumaya Museum	19.4406926, -99.2047001	1651.6	1651.6	4.7
8	Frida Kahlo Museum	19.3551806, -99.1624636	1327.2	1327.2	4.5
9	Museo de Cera	19.4285278, -99.15708079999999	729.5	729.5	4.6
10	Memory and Tolerance Museum	19.4343297, -99.1413247	697.5	697.5	4.7
11	Museo Dolores Olmedo	19.2656032, -99.1253409	2615.8	2615.8	4.7
12	Museo Franz Mayer	19.4369334, -99.14343400000001	335.3	335.3	4.6
13	Museo Casa de León Trotsky	19.3576107, -99.15932459999999	1296.7	1296.7	4.5
14	Metro Museum	19.3752985, -99.1867425	1508.0	1508.0	4.4
15	Museo de la Ciudad de Mexico	19.4292369, -99.1321387	199.8	199.8	4.5
16	Palacio de Bellas Artes	19.4352, -99.1412	545.2	545.2	4.8
17	University Museum Contemporary Art	19.3146858, -99.18540109999999	2176.8	2176.8	4.7
18	Museum of Man Tepexpan	19.6139084, -98.94735569999999	2613.0	2613.0	4.1
19	National Museum of Interventions	19.3550024, -99.14879499999999	1360.2	1360.2	4.6
20	Museo de la Charreria	19.4260403, -99.1372238	344.5	344.5	4.3
21	Museo Nacional de las Culturas	19.4332126, -99.13039769999999	479.6	479.6	4.7
22	Museo del Tiempo Tlalpan, A.C.	19.2885927, -99.16743029999999	2073.2	2073.2	4.7
23	Universum	19.3114346, -99.1805749	2208.4	2208.4	4.6
24	Museo Anahuacalli	19.3231754, -99.1439285	1666.9	1666.9	4.7
25	Palacio de la Escuela de Medicina	19.4379488, -99.1330325	204.6	204.6	4.6
26	Former College of San Ildefonso	19.436341, -99.1308634	422.9	422.9	4.7
27	Museo de Historia Natural	19.409833, -99.20151899999999	1611.4	1611.4	4.7
28	Museo del Instituto de Geología de la UNAM	19.4502641, -99.1578017	990.2	990.2	4.6
29	Toy Museum Old Mexico street Art	19.4153442, -99.1445236	657.9	657.9	4.2
30	Papalote Museo del Niño	19.4116523, -99.1947372	1249.6	1249.6	4.5
