Id 	 Nombre de Lugar 	 Coordenadas 	 Tiempo Traslado 	 Tiempo Total (Weight) 	 Rating (Profit) 

1	Museo Nacional de Antropología	19.4260032, -99.1862786	1625.3	1625.3	4.8
2	Templo Mayor Museum	19.4346038, -99.13188099999999	1890.2	1890.2	4.8
3	Museo Nacional De Arte (MUNAL)	19.4363712, -99.1397023	1382.8	1382.8	4.8
4	Interactive Museum of Economics	19.4353495, -99.13836459999999	1330.6	1330.6	4.6
5	Museo de Arte Moderno	19.4228316, -99.1797258	1769.0	1769.0	4.6
6	Museo de Arte Popular	19.433958, -99.1462631	1382.3	1382.3	4.7
7	Frida Kahlo Museum	19.3551806, -99.1624636	583.5	583.5	4.5
8	Museo de Cera	19.4285278, -99.15708079999999	1373.9	1373.9	4.6
9	Memory and Tolerance Museum	19.4343297, -99.1413247	1502.7	1502.7	4.7
10	Museo Franz Mayer	19.4369334, -99.14343400000001	1320.6	1320.6	4.6
11	Museo Casa de León Trotsky	19.3576107, -99.15932459999999	553.0	553.0	4.5
12	Museo de la Ciudad de Mexico	19.4292369, -99.1321387	1004.1	1004.1	4.5
13	Metro Museum	19.3752985, -99.1867425	764.3	764.3	4.4
14	University Museum Contemporary Art	19.3146858, -99.18540109999999	1478.3	1478.3	4.7
15	Palacio de Bellas Artes	19.4352, -99.1412	1238.4	1238.4	4.8
16	National Museum of Interventions	19.3550024, -99.14879499999999	540.6	540.6	4.6
17	Museum of Man Tepexpan	19.6139084, -98.94735569999999	3627.4	3627.4	4.1
18	Museo de la Charreria	19.4260403, -99.1372238	942.7	942.7	4.3
19	Museo Nacional de las Culturas	19.4332126, -99.13039769999999	1600.4	1600.4	4.7
20	Museo del Tiempo Tlalpan, A.C.	19.2885927, -99.16743029999999	1374.7	1374.7	4.7
21	Museo Dolores Olmedo	19.2656032, -99.1253409	1917.3	1917.3	4.7
22	Universum	19.3114346, -99.1805749	1509.9	1509.9	4.6
23	Museo Anahuacalli	19.3231754, -99.1439285	968.4	968.4	4.7
24	Palacio de la Escuela de Medicina	19.4379488, -99.1330325	1325.4	1325.4	4.6
25	Museo de Historia Natural	19.409833, -99.20151899999999	1699.1	1699.1	4.7
26	Former College of San Ildefonso	19.436341, -99.1308634	1543.7	1543.7	4.7
27	Museo del Instituto de Geología de la UNAM	19.4502641, -99.1578017	1975.5	1975.5	4.6
28	Toy Museum Old Mexico street Art	19.4153442, -99.1445236	1095.1	1095.1	4.2
29	Estanquillo Museum	19.4332695, -99.1361618	1181.8	1181.8	4.6
30	Museo Nacional de Arquitectura	19.4354995, -99.14118529999999	1244.1	1244.1	4.8
31	Museum of El Carmen	19.3453961, -99.1899237	1229.3	1229.3	4.7
32	Papalote Museo del Niño	19.4116523, -99.1947372	1529.7	1529.7	4.5
33	Arte Carrillo Gil Museum	19.3494444, -99.1902778	1076.3	1076.3	4.5
34	UNAM Museo de las Constituciones	19.4363673, -99.1294145	1581.8	1581.8	4.5
35	Museo Tamayo Arte Contemporáneo	19.42572, -99.181716	1686.9	1686.9	4.4
36	Museo del Chocolate	19.4294462, -99.1572271	1378.6	1378.6	4.5
37	The National Museum of San Carlos	19.4380689, -99.1520429	1565.7	1565.7	4.6
38	Museo Jumex	19.4404568, -99.20359330000001	1799.3	1799.3	4.6
39	Diego Rivera Mural Museum	19.4360279, -99.14693349999999	1509.6	1509.6	4.5
40	Museo Casa de Carranza	19.4311935, -99.163468	1574.0	1574.0	4.6
41	Museum of light	19.4362372, -99.1299945	1594.3	1594.3	4.5
42	Museo Experimental el Eco	19.4334736, -99.1611887	1610.3	1610.3	4.2
43	Natural History Museum of Ecatepec	19.5469044, -99.03670129999999	2729.3	2729.3	4.4
44	MODO Museo del Objeto	19.4202297, -99.15907620000002	1397.6	1397.6	4.5
45	Museum of Cultures By Iztapalapa Passion	19.3577118, -99.0875015	1092.7	1092.7	4.4
46	Museo de la Torre Latinoamericana	19.433891, -99.14054399999999	1206.7	1206.7	4.7
47	Museo del Genoma Mesoamericano	19.5968081, -99.0519692	3465.2	3465.2	4.6
48	Museo Universitario del Chopo	19.441993, -99.1567171	1732.1	1732.1	4.5
49	Regional Art Museum	19.5019399, -99.2116346	2438.1	2438.1	4.5
50	Museo Universitario de Ciencias y Artes (MUCA) Roma	19.4190404, -99.1629921	1520.1	1520.1	4.2
51	Regional Museum Altepepialcalli	19.1925056, -99.02178889999999	4382.6	4382.6	4.1
52	House Museum of Memory Indómita	19.4276917, -99.1346883	947.2	947.2	4.5
53	Alfredo Guati Rojo National Watercolor Museum	19.348631, -99.17707	900.5	900.5	4.6
54	MI Indian Museum	19.4519111, -99.13131849999999	1832.3	1832.3	4.5
55	Museo del Caracol	19.4190145, -99.1834349	1576.6	1576.6	4.6
56	Museum Tepexpan	19.613865, -98.947688	3626.7	3626.7	4.1
57	Museum Adolfo Lopez Mateos	19.5631838, -99.248143	3123.0	3123.0	4.2
58	Museo Nacional de la Estampa	19.4370531, -99.1427154	1368.2	1368.2	4.5
59	New Fire Museum	19.3481804, -99.0914754	1816.6	1816.6	4.4
60	Museo ídolos del Esto	19.4378735, -99.16012979999999	1678.7	1678.7	3.8
61	Bosque de Chapultepec	19.4194815, -99.18945579999999	1772.7	1772.7	4.6
62	Parque Tezozómoc	19.4998595, -99.210754	2460.7	2460.7	4.4
63	Parque Bicentenario	19.4686896, -99.1972629	2779.6	2779.6	4.7
64	Parque Hundido	19.3782922, -99.17874719999999	1026.4	1026.4	4.6
65	La Mexicana Park	19.3574615, -99.27052119999999	2396.7	2396.7	4.7
66	Cerro de la Estrella National Park	19.3439269, -99.0914995	5534.5	5534.5	4.4
67	El Tepeyac National Park	19.5039634, -99.1078041	2751.7	2751.7	4.1
68	Parque Ecológico EHECATL	19.5943439, -99.0545412	3564.5	3564.5	4.5
69	Alameda Central	19.4357353, -99.1439486	1405.4	1405.4	4.6
70	Parque Naucalli	19.4930556, -99.24083329999999	2083.0	2083.0	4.4
71	SEMARNAT Bioparque San Antonio	19.3865189, -99.1963827	1280.5	1280.5	4.5
72	parque rosendo	19.3842214, -99.1872569	1103.6	1103.6	3.3
73	Parque Lincoln	19.4298155, -99.1992389	1617.7	1617.7	4.6
74	Ehécatl Ecological Park	19.58903, -99.048645	3295.9	3295.9	4.4
75	Tlalpan National Park	19.2961412, -99.1931443	1687.9	1687.9	4.6
76	Parque España	19.4153363, -99.1711504	1589.8	1589.8	4.5
77	PARQUE MASAYOSHI OHIRA	19.3524417, -99.14218609999999	192.3	192.3	4.3
78	Parque El Batán	19.3327776, -99.2060024	1559.1	1559.1	4.3
79	Azcatl Paqui	19.4728199, -99.20634319999999	2214.2	2214.2	4.0
80	Parque Lineal	19.4422863, -99.19160680000002	2207.7	2207.7	3.9
81	María Enriqueta Park	19.39945, -99.16717609999999	1215.1	1215.1	4.3
82	Iztaccíhuatl "José Mariano Muciño" Park	19.390052, -99.1350654	473.4	473.4	4.3
83	Arboledas Park	19.3779458, -99.16237129999999	918.8	918.8	4.5
84	Alfonso Esparza Oteo Park	19.3895948, -99.177103	1151.6	1151.6	4.5
85	Recreativo Familiar Caneguin Park	19.4549443, -99.20543839999999	1869.8	1869.8	4.3
86	Tlaltecahuacan Park	19.5837198, -98.8791858	4071.8	4071.8	4.3
87	Parque Xicoténcatl	19.3563455, -99.15073989999999	534.7	534.7	4.3
88	parque pantitlan	19.4152253, -99.05840859999999	1517.3	1517.3	3.8
89	Parque Acacias	19.3641186, -99.17407709999999	560.1	560.1	4.4
90	Mariano Matamoros Park	19.3858723, -99.1303425	577.1	577.1	4.1
91	Huayamilpas Ecological Park	19.3242607, -99.1504593	1080.8	1080.8	4.0
92	Parque Hundido Bosque De Echegaray	19.49102, -99.2314205	1991.4	1991.4	4.4
93	American Park	19.4340768, -99.1966547	1770.3	1770.3	4.5
94	Parque San Lorenzo	19.3760197, -99.1767507	1019.4	1019.4	4.5
95	Parque Patolli	19.3691968, -99.00818389999999	2123.0	2123.0	3.8
96	Parque Eco-Turistico Santa Maria Mazatla	19.4934502, -99.3927353	4258.6	4258.6	4.8
97	Jesus Galindo y Villa Park	19.4128475, -99.09797669999999	925.5	925.5	4.4
98	PUBLICO "PEDRO PLASCENCIA SALINAS" Park	19.4363133, -99.17536229999999	1696.4	1696.4	4.2
99	San Simón Ticumac Park	19.3747984, -99.1430946	647.7	647.7	4.1
100	Jardín del Arte (Parque Tlacoquemécatl)	19.3786085, -99.17170829999999	1105.8	1105.8	4.4
101	Parque Ecologico Tarango	19.3468874, -99.2513898	2025.0	2025.0	4.2
102	ACTEAL Park	19.4129173, -99.0681393	1364.1	1364.1	4.0
103	Cañitas Park	19.4534696, -99.17757569999999	2275.0	2275.0	4.1
104	Parque ecológico Presa Tarango	19.3606403, -99.2150303	1468.1	1468.1	4.1
105	Parque Pombo	19.3925015, -99.1834274	1148.1	1148.1	4.3
106	Cumbres del Ajusco National Park	19.1645013, -99.2922823	5115.9	5115.9	4.6
107	Parque Escuela Urbano Ecológico Iztacalco	19.3982073, -99.0607351	1552.8	1552.8	4.4
108	Parque San Luis Potosi	19.3480516, -99.18697949999999	1067.1	1067.1	4.3
109	Patoli Park	19.377046, -99.05976509999999	1616.5	1616.5	4.0
110	Niño Quemado Park	19.4375154, -99.08579549999999	1276.6	1276.6	4.0
111	PARQUE RECREATIVO MIRAVALLE	19.4092655, -99.0687284	1369.2	1369.2	3.9
112	Uno Park	19.3457255, -99.03482059999999	1783.3	1783.3	3.8
113	Pushkin Garden	19.4202716, -99.15464659999999	1214.9	1214.9	4.4
114	Parque Ecológico Las Aguilas	19.3525479, -99.2056059	1268.5	1268.5	4.4
115	Pascual Ortíz Rubio Public Park	19.3708583, -99.16879519999999	807.7	807.7	4.4
116	Parque Alerces	19.4045362, -99.24745940000001	2283.3	2283.3	4.4
117	Bombilla Park	19.346807, -99.18619540000002	1088.7	1088.7	4.6
118	Parque de las Montañas	19.347912, -99.12335829999999	711.3	711.3	4.3
119	Parque ecologico "LA LOMA"	19.3281493, -99.2426861	2245.1	2245.1	4.1
120	Gustavo A. Madero Park	19.4907245, -99.1181194	2462.3	2462.3	3.9
121	Zoológico de Chapultepec	19.4232085, -99.1895256	1713.6	1713.6	4.1
122	Zoo San Juan De Aragon	19.4611421, -99.0811449	1717.9	1717.9	4.1
123	Zoológico Los Coyotes	19.319074, -99.1217271	992.0	992.0	4.4
124	Parque Del Pueblo Zoologico	19.3939725, -99.00573419999999	2329.3	2329.3	4.2
125	Rectory Lord of Marvels	19.3832188, -99.14915429999999	640.3	640.3	4.6
126	Basilica of Our Lady of Guadalupe	19.4848572, -99.1178616	2379.8	2379.8	4.7
127	Parroquia de Santa María la Redonda	19.4411626, -99.140851	1450.0	1450.0	4.4
128	Parroquia San Juan Bautista	19.3489222, -99.16232889999999	860.1	860.1	4.7
129	Parroquia de Santa Catalina	19.3786023, -99.2084505	1393.7	1393.7	4.5
130	Iglesia San Jose de las Palmas	19.4138069, -99.2298355	2026.2	2026.2	4.4
131	Parish of Our Father	19.265789, -99.13153199999999	1974.4	1974.4	4.6
132	Mexico City Metropolitan Cathedral	19.4343942, -99.13308239999999	1546.5	1546.5	4.7
133	Church of San Bernardo	19.4308451, -99.1338559	989.7	989.7	4.4
134	Parroquia San Luis Gonzaga	19.3852275, -99.1287521	711.7	711.7	4.5
135	Parroquia de Las Llagas de Nuestro Señor Jesucristo	19.3939624, -99.1081134	917.9	917.9	4.3
136	Parroquia de Jesús Sacramentado	19.3446592, -99.135885	456.7	456.7	4.5
137	Parroquia de la Santísima Trinidad y Nuestra Señora del Refugio	19.4633533, -99.1338518	1854.9	1854.9	4.6
138	Santa Isabel Prima rectory of Holy Mary	19.3520665, -99.1077028	795.8	795.8	4.4
139	Parroquia San Salvador de las Flores	19.4567155, -99.1677608	2155.1	2155.1	4.5
140	Church of Our Lady of Lebanon Lebanese Maronite Order	19.3614933, -99.17551549999999	885.6	885.6	4.5
141	Parish St. John the Evangelist and Our Lady of Guadalupe	19.377579, -99.1817861	987.8	987.8	4.7
142	Parroquia de la Santa Cruz de la Herradura	19.4178499, -99.2521639	2370.6	2370.6	4.6
143	Parroquia Santa Eduwiges	19.473436, -99.17874169999999	2333.2	2333.2	4.4
144	Regina Coeli parish	19.4279059, -99.1389415	1076.0	1076.0	4.4
145	Parroquia de San Josemaría Escrivá	19.3702778, -99.26055559999999	2389.3	2389.3	4.7
146	Santa Veracruz Church, Mexico City	19.4367664, -99.1422544	1390.1	1390.1	4.2
147	Parroquía de la Divina Providencia	19.405143, -99.165639	1300.9	1300.9	4.6
148	Church of San Francisco	19.4335142, -99.1401466	1198.0	1198.0	4.7
149	Parroquia de San Fernando	19.4394444, -99.1486111	1475.9	1475.9	4.2
150	Nichos del Templo de Santa María de la Anunciación	19.3353743, -99.181451	1237.9	1237.9	4.5
151	Parroquia Francesa - Cristo Resucitado y Nuestra Señora de Lourdes	19.4351792, -99.2102851	1583.5	1583.5	4.7
152	SANTUARIO PARROQUIAL NUESTRA SEÑORA DE LOS ANGELES	19.4490513, -99.14180879999999	1586.6	1586.6	4.2
153	Parroquia de Cristo Salvador y Santa María Guadalupe	19.5252778, -99.14833329999999	2740.9	2740.9	4.6
154	Parroquía de Santa Catarina	19.4409839, -99.13290599999999	1408.2	1408.2	4.3
155	Parroquia de Santa María Magdalena	19.4786485, -99.1455733	2050.5	2050.5	4.1
156	Iglesia San Jose Del Buen Consejo	19.3373073, -99.23792309999999	2121.3	2121.3	4.5
157	Iglesia De Coyoacan	19.348308, -99.16221069999999	831.3	831.3	4.7
158	San Pedro Apostol Church	19.2957593, -99.17704889999999	1564.7	1564.7	4.5
159	Parroquia De La Resurrección Del Señor	19.4513653, -99.08637329999999	1497.1	1497.1	4.4
160	Parroquia de San Matías Apóstol	19.3901044, -99.121135	870.3	870.3	4.4
161	Chapel of Animas	19.4349528, -99.1332757	1440.2	1440.2	4.5
162	Iglesia de Nuestra Señora de Covadonga	19.4294444, -99.2116667	1781.3	1781.3	4.6
163	Church of Santa Ines	19.4926641, -99.18960059999999	2581.1	2581.1	3.8
164	Templo de San Felipe Neri La Profesa	19.4336736, -99.1363798	1198.3	1198.3	4.6
165	Parroquia de la Sagrada Familia	19.4224902, -99.16152190000001	1373.6	1373.6	4.7
166	Parroquia De Monte Carmelo	19.3755348, -99.1973436	1044.6	1044.6	4.4
167	Restauración Iglesia Cristiana	19.4503269, -99.16580959999999	1920.5	1920.5	4.4
168	Parroquia Merced de las Huertas	19.4513116, -99.1729584	1970.6	1970.6	4.4
169	Parroquia del Divino Salvador	19.5298172, -99.24578299999999	2895.9	2895.9	4.6
170	Parroquia Coronación de Santa María de Guadalupe	19.4138226, -99.1721257	1603.6	1603.6	4.7
171	Parroquia del Inmaculado Corazón de María	19.4455556, -99.1461111	1719.6	1719.6	4.6
172	Parroquia de Santa Maria de Guadalupe y San Bernardo Abad	19.3491563, -99.0078472	2093.6	2093.6	4.3
173	San Juan de Dios Church	19.4369854, -99.1434132	1320.5	1320.5	4.3
174	IGLESIA SANTA MARÍA MAGDALENA ATOLMAN	19.4481706, -99.1897349	2181.9	2181.9	4.3
175	Chapel of Santa Catarina	19.3497107, -99.1705739	726.9	726.9	4.6
176	Parroquia de Cristo del Mar	19.2856619, -99.0615689	2604.6	2604.6	4.4
177	Parroquia Jesus Sacerdote	19.2742971, -99.2397641	2870.0	2870.0	4.3
178	Parroquia San Jacinto	19.3446556, -99.1934147	1363.8	1363.8	4.7
179	St. Augustine Parish	19.4352878, -99.19648199999999	1792.9	1792.9	4.7
180	Nuestra Señora del Socorro	19.4225726, -99.2069181	1611.0	1611.0	4.6
181	Parroquia de Nuestra Señora del Sagrado Corazón	19.478748, -99.08346039999999	2099.1	2099.1	4.5
182	Iglesia de Nuestra Señora del Sagrado Corazón	19.464192, -99.16671249999999	2261.1	2261.1	4.6
183	Rectoria de la Divina Providencia	19.3734614, -99.01221269999999	1913.9	1913.9	4.1
184	CHURCH Cuevita	19.3491027, -99.2183226	1579.8	1579.8	4.4
