Id 	 Nombre de Lugar 	 Coordenadas 	 Tiempo Traslado 	 Tiempo Total (Weight) 	 Rating (Profit) 

1	Museo Nacional de Antropología	19.4260032, -99.1862786	1509.2	1509.2	4.8
2	Templo Mayor Museum	19.4346038, -99.13188099999999	2006.8	2006.8	4.8
3	Museo Nacional De Arte (MUNAL)	19.4363712, -99.1397023	1231.3	1231.3	4.8
4	Interactive Museum of Economics	19.4353495, -99.13836459999999	1140.8	1140.8	4.6
5	Museo de Arte Moderno	19.4228316, -99.1797258	1473.0	1473.0	4.6
6	Museo de Arte Popular	19.433958, -99.1462631	1110.1	1110.1	4.7
7	Frida Kahlo Museum	19.3551806, -99.1624636	2435.6	2435.6	4.5
8	Museo de Cera	19.4285278, -99.15708079999999	1108.1	1108.1	4.6
9	Memory and Tolerance Museum	19.4343297, -99.1413247	1230.5	1230.5	4.7
10	Palacio de Bellas Artes	19.4352, -99.1412	1286.0	1286.0	4.8
11	Museo Dolores Olmedo	19.2656032, -99.1253409	3733.6	3733.6	4.7
12	Museo Franz Mayer	19.4369334, -99.14343400000001	1070.8	1070.8	4.6
13	Museo Casa de León Trotsky	19.3576107, -99.15932459999999	2414.0	2414.0	4.5
14	Museo de la Ciudad de Mexico	19.4292369, -99.1321387	1476.9	1476.9	4.5
15	Metro Museum	19.3752985, -99.1867425	2141.7	2141.7	4.4
16	Museo Nacional del Virreinato	19.7132656, -99.2217286	3095.5	3095.5	4.7
17	University Museum Contemporary Art	19.3146858, -99.18540109999999	3103.1	3103.1	4.7
18	Museum of Man Tepexpan	19.6139084, -98.94735569999999	1639.1	1639.1	4.1
19	National Museum of Interventions	19.3550024, -99.14879499999999	2478.0	2478.0	4.6
20	Museo de la Charreria	19.4260403, -99.1372238	1513.5	1513.5	4.3
21	Museum of light	19.4362372, -99.1299945	1166.9	1166.9	4.5
22	Museo del Tiempo Tlalpan, A.C.	19.2885927, -99.16743029999999	3191.0	3191.0	4.7
23	Museo Nacional de las Culturas	19.4332126, -99.13039769999999	1490.5	1490.5	4.7
24	Universum	19.3114346, -99.1805749	3327.8	3327.8	4.6
25	Museo Anahuacalli	19.3231754, -99.1439285	2784.7	2784.7	4.7
26	Palacio de la Escuela de Medicina	19.4379488, -99.1330325	1252.3	1252.3	4.6
27	Former College of San Ildefonso	19.436341, -99.1308634	1295.3	1295.3	4.7
28	Museo Nacional de Arquitectura	19.4354995, -99.14118529999999	1291.7	1291.7	4.8
29	Museo de Historia Natural	19.409833, -99.20151899999999	2126.1	2126.1	4.7
