Id 	 Nombre de Lugar 	 Coordenadas 	 Tiempo Traslado 	 Tiempo Total (Weight) 	 Rating (Profit) 

1	Museo Nacional de Antropología	19.4260032, -99.1862786	1003.5	1003.5	4.8
2	Museo Nacional De Arte (MUNAL)	19.4363712, -99.1397023	353.2	353.2	4.8
3	Templo Mayor Museum	19.4346038, -99.13188099999999	1128.7	1128.7	4.8
4	Interactive Museum of Economics	19.4353495, -99.13836459999999	253.0	253.0	4.6
5	Museo de Arte Moderno	19.4228316, -99.1797258	967.3	967.3	4.6
6	Museo de Arte Popular	19.433958, -99.1462631	282.0	282.0	4.7
7	Museo de Cera	19.4285278, -99.15708079999999	544.5	544.5	4.6
8	Frida Kahlo Museum	19.3551806, -99.1624636	1736.4	1736.4	4.5
9	Memory and Tolerance Museum	19.4343297, -99.1413247	402.4	402.4	4.7
10	Museum of light	19.4362372, -99.1299945	689.1	689.1	4.5
11	Museo Dolores Olmedo	19.2656032, -99.1253409	3025.0	3025.0	4.7
12	Metro Museum	19.3752985, -99.1867425	1616.5	1616.5	4.4
13	Museo Franz Mayer	19.4369334, -99.14343400000001	40.2	40.2	4.6
14	University Museum Contemporary Art	19.3146858, -99.18540109999999	2603.2	2603.2	4.7
15	Museo de la Ciudad de Mexico	19.4292369, -99.1321387	657.5	657.5	4.5
16	Museo Casa de León Trotsky	19.3576107, -99.15932459999999	1705.9	1705.9	4.5
17	Palacio de Bellas Artes	19.4352, -99.1412	457.9	457.9	4.8
18	Museo de la Charreria	19.4260403, -99.1372238	691.0	691.0	4.3
19	Museum of Man Tepexpan	19.6139084, -98.94735569999999	2430.0	2430.0	4.1
20	Museo del Tiempo Tlalpan, A.C.	19.2885927, -99.16743029999999	2482.4	2482.4	4.7
21	National Museum of Interventions	19.3550024, -99.14879499999999	1769.4	1769.4	4.6
22	Museo Nacional de las Culturas	19.4332126, -99.13039769999999	687.7	687.7	4.7
23	Universum	19.3114346, -99.1805749	2617.6	2617.6	4.6
24	Museo Anahuacalli	19.3231754, -99.1439285	2076.1	2076.1	4.7
25	Palacio de la Escuela de Medicina	19.4379488, -99.1330325	420.2	420.2	4.6
26	Former College of San Ildefonso	19.436341, -99.1308634	638.5	638.5	4.7
27	Museo de Historia Natural	19.409833, -99.20151899999999	1548.6	1548.6	4.7
28	Museo Nacional de Arquitectura	19.4354995, -99.14118529999999	463.6	463.6	4.8
29	Museo del Instituto de Geología de la UNAM	19.4502641, -99.1578017	695.1	695.1	4.6
30	Toy Museum Old Mexico street Art	19.4153442, -99.1445236	739.6	739.6	4.2
31	Estanquillo Museum	19.4332695, -99.1361618	557.8	557.8	4.6
32	Museum of El Carmen	19.3453961, -99.1899237	2205.8	2205.8	4.7
33	Diego Rivera Mural Museum	19.4360279, -99.14693349999999	229.2	229.2	4.5
34	Museo Experimental el Eco	19.4334736, -99.1611887	619.5	619.5	4.2
35	Papalote Museo del Niño	19.4116523, -99.1947372	1186.8	1186.8	4.5
36	UNAM Museo de las Constituciones	19.4363673, -99.1294145	676.6	676.6	4.5
37	Arte Carrillo Gil Museum	19.3494444, -99.1902778	2018.4	2018.4	4.5
38	Museo del Chocolate	19.4294462, -99.1572271	590.6	590.6	4.5
39	Museo Tamayo Arte Contemporáneo	19.42572, -99.181716	885.2	885.2	4.4
40	The National Museum of San Carlos	19.4380689, -99.1520429	285.3	285.3	4.6
41	Museo Jumex	19.4404568, -99.20359330000001	1302.3	1302.3	4.6
42	Museo Casa de Carranza	19.4311935, -99.163468	623.3	623.3	4.6
43	Natural History Museum of Ecatepec	19.5469044, -99.03670129999999	2585.0	2585.0	4.4
44	MODO Museo del Objeto	19.4202297, -99.15907620000002	713.6	713.6	4.5
45	Museum of Cultures By Iztapalapa Passion	19.3577118, -99.0875015	2257.6	2257.6	4.4
46	Museo de la Torre Latinoamericana	19.433891, -99.14054399999999	486.5	486.5	4.7
47	Museo del Genoma Mesoamericano	19.5968081, -99.0519692	2303.9	2303.9	4.6
48	Museo Universitario del Chopo	19.441993, -99.1567171	486.5	486.5	4.5
49	Regional Art Museum	19.5019399, -99.2116346	1806.1	1806.1	4.5
50	Museo Universitario de Ciencias y Artes (MUCA) Roma	19.4190404, -99.1629921	870.2	870.2	4.2
51	House Museum of Memory Indómita	19.4276917, -99.1346883	568.0	568.0	4.5
52	Regional Museum Altepepialcalli	19.1925056, -99.02178889999999	5490.3	5490.3	4.1
53	Alfredo Guati Rojo National Watercolor Museum	19.348631, -99.17707	2100.1	2100.1	4.6
54	Museum Tepexpan	19.613865, -98.947688	2430.7	2430.7	4.1
55	MI Indian Museum	19.4519111, -99.13131849999999	627.9	627.9	4.5
56	Museo del Caracol	19.4190145, -99.1834349	869.4	869.4	4.6
57	Museum Adolfo Lopez Mateos	19.5631838, -99.248143	2789.6	2789.6	4.2
58	Museo Nacional de la Estampa	19.4370531, -99.1427154	87.8	87.8	4.5
59	New Fire Museum	19.3481804, -99.0914754	3024.9	3024.9	4.4
60	Museo ídolos del Esto	19.4378735, -99.16012979999999	437.0	437.0	3.8
61	Bosque de Chapultepec	19.4194815, -99.18945579999999	1556.1	1556.1	4.6
62	Parque Tezozómoc	19.4998595, -99.210754	1828.7	1828.7	4.4
63	Parque Bicentenario	19.4686896, -99.1972629	1760.7	1760.7	4.7
64	La Mexicana Park	19.3574615, -99.27052119999999	2053.8	2053.8	4.7
65	Parque Hundido	19.3782922, -99.17874719999999	1564.7	1564.7	4.6
66	Cerro de la Estrella National Park	19.3439269, -99.0914995	6742.8	6742.8	4.4
67	Espejo de los Lirios Park	19.651843, -99.21830179999999	3166.1	3166.1	4.3
68	Parque Ecológico EHECATL	19.5943439, -99.0545412	2403.2	2403.2	4.5
69	Alameda Central	19.4357353, -99.1439486	125.0	125.0	4.6
70	El Tepeyac National Park	19.5039634, -99.1078041	1590.4	1590.4	4.1
71	Parque Naucalli	19.4930556, -99.24083329999999	1882.0	1882.0	4.4
72	SEMARNAT Bioparque San Antonio	19.3865189, -99.1963827	1767.4	1767.4	4.5
73	parque rosendo	19.3842214, -99.1872569	1709.9	1709.9	3.3
74	Parque Lincoln	19.4298155, -99.1992389	1338.3	1338.3	4.6
75	Esculturas Park	19.65598, -99.2044432	3297.2	3297.2	4.4
76	Ehécatl Ecological Park	19.58903, -99.048645	2134.6	2134.6	4.4
77	Tlalpan National Park	19.2961412, -99.1931443	2549.9	2549.9	4.6
78	Parque España	19.4153363, -99.1711504	946.9	946.9	4.5
79	PARQUE MASAYOSHI OHIRA	19.3524417, -99.14218609999999	2138.8	2138.8	4.3
80	Parque El Batán	19.3327776, -99.2060024	2108.2	2108.2	4.3
81	Azcatl Paqui	19.4728199, -99.20634319999999	1682.3	1682.3	4.0
82	Parque Lineal	19.4422863, -99.19160680000002	1237.3	1237.3	3.9
83	María Enriqueta Park	19.39945, -99.16717609999999	1160.0	1160.0	4.3
84	Iztaccíhuatl "José Mariano Muciño" Park	19.390052, -99.1350654	1253.9	1253.9	4.3
85	Arboledas Park	19.3779458, -99.16237129999999	1557.0	1557.0	4.5
86	Alfonso Esparza Oteo Park	19.3895948, -99.177103	1525.3	1525.3	4.5
87	Recreativo Familiar Caneguin Park	19.4549443, -99.20543839999999	1414.9	1414.9	4.3
88	Tlaltecahuacan Park	19.5837198, -98.8791858	3901.0	3901.0	4.3
89	Parque Xicoténcatl	19.3563455, -99.15073989999999	1765.5	1765.5	4.3
90	Parque Acacias	19.3641186, -99.17407709999999	1713.0	1713.0	4.4
91	parque pantitlan	19.4152253, -99.05840859999999	1891.8	1891.8	3.8
92	Mariano Matamoros Park	19.3858723, -99.1303425	1295.8	1295.8	4.1
93	Huayamilpas Ecological Park	19.3242607, -99.1504593	2188.5	2188.5	4.0
94	Parque Hundido Bosque De Echegaray	19.49102, -99.2314205	1790.4	1790.4	4.4
95	Parque San Lorenzo	19.3760197, -99.1767507	1649.2	1649.2	4.5
96	Parque Patolli	19.3691968, -99.00818389999999	2497.5	2497.5	3.8
97	Parque Eco-Turistico Santa Maria Mazatla	19.4934502, -99.3927353	4057.6	4057.6	4.8
98	Parque Ecologico Tarango	19.3468874, -99.2513898	2198.9	2198.9	4.2
99	PUBLICO "PEDRO PLASCENCIA SALINAS" Park	19.4363133, -99.17536229999999	795.3	795.3	4.2
100	Jesus Galindo y Villa Park	19.4128475, -99.09797669999999	1317.0	1317.0	4.4
101	Bombilla Park	19.346807, -99.18619540000002	2288.3	2288.3	4.6
102	San Simón Ticumac Park	19.3747984, -99.1430946	1258.3	1258.3	4.1
103	Jardín del Arte (Parque Tlacoquemécatl)	19.3786085, -99.17170829999999	1566.8	1566.8	4.4
104	ACTEAL Park	19.4129173, -99.0681393	1738.6	1738.6	4.0
105	Cañitas Park	19.4534696, -99.17757569999999	994.6	994.6	4.1
106	Parque ecológico Presa Tarango	19.3606403, -99.2150303	2132.2	2132.2	4.1
